annual_gwh,latitude,longitude,altitude
735.0,62.519356499999894,17.3850874999999,152.0
396.5,39.5429,-8.3188,296.7
154.0,41.9404,24.27,415.8
350.0,64.7506673477997,20.9527945518493,915.5
1441.0,41.692695,-8.027817,242.4
748.0,63.2411585,15.2339025,131.2
413.0,40.0966,21.8039,405.0
19.0,56.282002,-4.93,393.1
753.0,63.266912,17.204441,60.5
504.0,48.55369,13.4356937,292.4
19.0,56.078998999999996,-5.3420000000000005,96.8
475.0,40.693986200000005,20.439501,521.4
7.0,56.351002,-5.093999999999999,62.2
15.0,56.509997999999996,-4.228,271.8
16.0,56.509997999999996,-4.228,271.8
221.4,41.705833,19.770278,3.0
12.0,58.02,-4.4151,112.4
1005.0,63.1837,17.0968,89.7
118.4,41.705833,19.770278,3.0
667.8,46.1573658,7.2092732999999996,475.4
65.0,40.506225,20.310079,721.5
290.0,54.5,-8.19,10.0
160.0,46.058217,6.956967,1144.1
12.9,44.42463,9.395171000000001,173.6
12.0,44.42463,9.395171000000001,173.6
48.0,43.869813,7.549187,85.3
26.0,43.822105,7.579253,24.8
12.0,44.3938,8.2787,330.5
21.0,44.539551,8.338875999999999,269.3
13.0,44.613917,8.606257000000001,189.9
13.0,44.250215000000004,9.679784,132.7
50.0,37.829642,14.576644,947.4
40.0,45.487814,7.395236,2386.8
70.0,45.406252,7.487785000000001,564.0
200.0,45.433313,7.417422,684.2
8.0,45.433313,7.417422,684.2
55.0,45.529214,9.533849,115.0
178.6,45.6540043,9.484736900000001,158.4
51.0,45.6647544,9.4833148,207.9
27.0,44.509523,7.912195,239.0
40.85,46.110463,12.880402,124.7
24.1,41.940765899999995,13.4028744,736.0
33.0,46.348831,10.355053,957.3
275.0,42.25183,-8.1419,70.0
139.0,40.991739,-8.1419,455.4
11.863,40.889793,8.893944,106.8
312.0,63.197917000000004,13.50875,547.2
869.0,63.54198100000001,16.45496,154.7
740.0,48.83135,8.112160000000001,115.0
140.0,45.20308,6.57913,1050.5
117.0,45.239059000000005,6.3168593,734.9
92.0,42.6717259,1.7009906000000004,1697.8
410.0,45.209920000000004,6.47663,731.6
56.0,46.34200870000001,9.3687663,545.3
73.0,46.392703999999995,9.353384,1062.4
410.0,46.286138,10.265884,612.1
484.0,66.314003,27.190001000000002,238.4
248.0,49.82354,14.434501000000001,255.0
2600.0,47.88004,17.53841,121.8
540.0,66.6313945,19.8198109999999,251.5
713.0,62.950832999999996,16.667778,60.0
700.0,63.55540799999989,16.8403049999999,170.5
250.0,45.435348,7.4184660000000004,704.0
561.0,64.744883,20.863432999999997,53.5
515.0,65.931,24.714001,25.7
146.0,43.73687,6.1342300000000005,466.8
641.0,63.368269999999995,16.98765,64.4
357.9,39.5428,-7.8029,70.5
825.0,62.990118,16.65472,94.5
900.0,46.489007,10.294052,1353.3
410.0,65.0222165,19.682859,231.0
330.0,45.825196000000005,7.333163000000001,968.0
428.0,64.4674469999999,15.532646,374.0
152.0,50.083,17.180999999999997,805.1
548.0,64.945753,15.827496,397.4
300.0,42.0135,24.2579,598.9
520.0,60.95096649999989,12.545216,294.8
189.0,41.763284999999996,-8.20976499999999,492.1
300.0,47.631353999999895,11.337054,606.7
