plant_id,gwh_per_mm3,grade,latitude,longitude,type,altitude_m,nearest_lake_dist_km,days_of_rain,avg_daily_temp,min_daily_temp,max_daily_temp,sea_level_pressure,global_radiation,rainfall,50m_gradient,100m_gradient,500m_gradient
N63,0.17528195488721804,0,59.825846999999996,8.345667,HDAM,871.1,2.1896149259984825,113,1.0321917707177055,-2.0478903638479644,4.983835506648439,1010.7082323884308,92.31232876712328,2.3123287970889104,13.8,36.1,61.9
H910,1.0810810810810811,0,46.727083,23.29625,HDAM,520.0,1.4719086824470071,95,9.192931289924946,4.147013591791262,14.32723252810538,1017.3375481592468,152.83835616438355,1.5060274135576537,13.5,41.4,222.0
H659,1.6776315789473684,1,40.96,20.067999999999998,HDAM,133.6,1.7044954027805168,98,15.815780457241896,10.864903845566593,20.52498581344134,1016.0027536052548,182.6958904109589,1.44684933032075,10.2,16.9,140.0
H296,2.0188679245283017,1,46.401001,8.551,HDAM,624.0,5.593156409522869,125,2.382657483771239,-1.0081917480144598,5.647780684779768,1018.7123426463504,156.53972602739725,4.426027471725255,57.4,112.0,457.0
N30,2.1764188235294117,1,59.657561,6.0963389999999995,HDAM,201.8,0.43041821672773856,113,5.441534144053722,2.6597259657023704,8.997205298138807,1010.7654950703661,77.86301369863014,11.640822108477762,25.4,67.1,416.0
N538,0.7267277486910994,0,60.033452000000004,12.371141999999999,HDAM,133.2,1.5966823345726748,113,3.909041009414686,0.9059999890013101,9.900986095895506,1010.4808351281572,99.30410958904108,1.8920548207139318,3.8,6.4,36.9
N256,0.4923076193487196,0,67.082708,16.055170999999998,HDAM,474.3,1.6638911883630554,105,-0.44591779276116256,-3.8287122357177408,2.902219119076043,1007.8559066981486,88.25479452054796,3.4841096535120935,5.8,15.8,40.8
N149,4.689497757847533,1,62.195096,7.517685,HDAM,748.6,0.8385742712927872,113,-1.3952602426891458,-3.1061095011101605,2.43597255103188,1009.6205608211153,87.47671232876712,3.7263014539668013,41.8,91.3,460.0
H93,4.721428571428572,1,47.067783,10.665211,HDAM,870.0,15.62554722333132,120,4.40663005740267,1.2602191622585874,9.890410710891633,1019.2085061269264,151.06575342465754,2.02684934678143,0.5,21.2,313.0
H720,0.058392857142857135,0,61.210576,28.782635,HDAM,70.1,6.552268457311503,119,4.750082070921382,1.7175342257912845,7.856356012295574,1010.7726169533928,11.016438356164384,1.9035616801209645,7.4,7.6,19.6
N595,0.4792044444444444,0,60.18165,6.6932279999999995,HDAM,1112.1,0.9679357222066584,113,1.689506811077056,-0.7723561511566378,4.546821830625812,1010.6169998796016,79.63287671232877,5.887397358352192,21.1,47.5,153.0
N278,5.647020740740741,2,69.718538,23.807803,HDAM,334.5,2.424376567009415,115,-1.7491506404358232,-5.457999850329879,2.3304930722315427,1008.1490547075664,85.92054794520548,1.4191781048905359,1.9,5.9,40.9
N242,0.3520906604142243,0,65.88709200000001,13.800660999999998,HDAM,368.4,1.4715714995356508,113,2.065835580250172,-0.5333972687743707,5.3402190590813134,1008.3430271096423,86.98904109589041,4.160548006671749,9.1,17.6,77.6
N668,0.7961165048543688,0,62.139844,7.4397660000000005,HDAM,915.2,1.723640413428967,113,-0.07123288125412107,-2.134136941350282,3.6465478713994157,1009.5197377662137,86.61643835616438,3.731506908307337,13.9,28.2,174.0
N1004,0.6595744680851063,0,59.400865,9.550383,HDAM,286.5,3.1998252714196216,113,4.1916985444469415,0.93364381124712,8.759999805096895,1010.7035753223994,95.12602739726029,3.8805480248307527,7.2,21.9,170.0
N26,0.8265457732761979,0,58.906296999999995,8.22607,HDAM,309.3,3.0532737202341007,113,4.4832601688240885,1.1357534016648383,8.802246354785684,1011.0580954355736,92.17534246575345,3.728493200752833,33.3,68.9,405.0
H192,0.2873134328358209,0,42.11625,-7.212083,HDAM,870.0,3.576337729293023,63,12.48830108338431,6.050438220237624,18.80994483412129,1019.1512471238228,175.87671232876713,1.748219212767196,0.0,0.0,89.0
H1328,0.4353932584269663,0,42.4452,25.6364,HROR,229.2,6.530616986463766,72,13.305807906016707,7.433095717440321,19.143424234079987,1016.7841241705909,166.92328767123288,1.5865753787837615,3.0,5.5,26.6
H795,0.08962868117797695,0,64.57875,26.76625,HDAM,118.0,1.2509965463204509,115,2.65810953613932,-1.4731506658080098,6.293150548483819,1009.280288320045,8.69041095890411,1.5728767434211626,0.0,0.7,2.0
