,id,gwh_per_mm3,latitude,longitude,type,rainfall,avg daily temp,min daily temp,max daily temp,sea level pressure,global radiation
102,H250,2.3887079261672097,41.693192,-8.027951,HPHS,2.2210959261410856,13.902410607468592,7.9311779053703155,20.49578031121868,1019.2635760581657,172.04657534246576
103,H257,5.174603174603175,42.8211,0.01033,HDAM,2.6589041611919666,6.309862885741542,2.2504383029594814,10.860684669670993,1020.7317959720141,173.48767123287672
104,H26,4.287048188029344,42.159,23.871,HPHS,1.9463014034375752,7.976958736511943,2.9835067775151503,12.94915036683111,1017.0435739177547,169.56438356164384
105,H266,6.6890322580645165,46.2302203342,7.85719305844,HDAM,1.539178118252591,6.671260118096659,2.5344383096092775,11.59435591323633,1018.8989205974422,156.32876712328766
106,H275,57.615894039735096,66.2682205,20.8259525,HDAM,1.7813699036428372,1.2182465683413695,-4.235095807399651,5.9995614921240366,1008.0054924951841,93.8054794520548
107,H277,0.4621072088724584,42.734001,18.497,HDAM,3.045205529748577,13.022246300725088,8.945451842462772,17.646383175784596,1015.755630953018,174.16164383561645
108,H28,0.26435045317220546,41.271328,-6.320278,HPHS,0.696164397180897,14.983342121439437,7.938356001414869,21.998848807975037,1019.3359048921768,195.63013698630138
109,H286,0.36507936507936506,41.209099,-7.049,HPHS,0.6131506952520919,16.45641058944676,9.878246333705237,23.76293096019797,1019.1750829409247,189.61917808219178
110,H289,5.4766031195840545,64.360001,24.409,HDAM,1.4279452353307645,3.793397184660378,0.6221369674199656,6.8333971228807755,1008.9057665681186,97.65753424657534
111,H296,2.0188679245283017,46.401001,8.551,HDAM,4.426027471725255,2.382657483771239,-1.0081917480144598,5.647780684779768,1018.7123426463506,156.53972602739725
112,H297,0.8412698412698413,46.464001,8.546,HPHS,4.426027471725255,2.382657483771239,-1.0081917480144598,5.647780684779768,1018.7123426463506,156.53972602739725
113,H302,1.263537906137184,41.771,20.84,HDAM,2.061369898221264,11.148821699813212,5.649287535025649,16.779972245962654,1016.3654920604131,174.06849315068493
114,H303,1.3948497854077253,43.757,17.743,HDAM,2.7126027760440357,10.312438116008288,5.4192601446878825,16.12950646676225,1016.1857667687821,164.33150684931508
115,H310,0.4393351800554017,39.5429,-8.3188,HDAM,1.2756164655293505,16.592629768423837,10.998958663581169,23.74161587806597,1018.6561794333262,195.7890410958904
116,H313,0.6810543074473729,41.9404,24.27,HPHS,1.8265753644786469,9.494602518100036,4.105808130963004,14.862547624310197,1016.8665891882491,169.73698630136985
117,H319,0.5,64.7506673477997,20.9527945518493,HDAM,1.896438380300182,3.2897533494009545,-0.8483013586230475,7.2634792732151405,1008.2945332566353,96.04931506849314
118,H320,14.11320754716981,63.2411585,15.2339025,HDAM,1.4720548219876746,3.1618629521345847,-0.7813150632616184,7.0942464123901035,1008.8054923279644,92.54520547945205
119,H322,0.7942307692307692,40.0966,21.8039,HDAM,1.0468493380366939,14.297013428220398,8.896821721755478,19.314191340093743,1016.0200128424658,184.94794520547944
120,H3283,1.3194444444444444,40.69398620000001,20.439501,HDAM,1.584109607624681,12.32084906114495,7.384465593079182,17.018355815214655,1016.0101485578981,179.87671232876713
121,H3306,0.907715582450832,44.3938,8.2787,HDAM,1.6704109910416276,13.032273676746511,8.315123101226883,17.94564346026068,1017.7074113401649,169.75616438356164
122,H3310,1.0,37.829642,14.576644,HDAM,1.3128767386691211,14.387287359817387,9.808301165271295,18.321807836833067,0.0,188.15616438356165
123,H3314,7.1556350626118075,45.433313,7.417422,HDAM,2.2950685283909107,6.891040963108001,2.4725205001765733,11.664876441427902,1018.3791923627462,165.97260273972603
124,H3329,2.5943396226415096,42.25183,-8.1419,HPHS,2.1087671583645964,15.17824623486767,8.9100272209728,21.597478975008613,1019.1093300179259,165.8
125,H3330,1.5741789354473388,40.991739,-8.1419,HDAM,2.0967123675019774,14.804273632454546,8.696958721133127,21.840547433617996,1019.1150820379388,177.94246575342467
126,H334,0.4457142857142857,63.197917,13.50875,HDAM,1.754520580703265,1.6370410511091555,-2.090684882224831,5.519506714421592,1008.8452193586794,91.2958904109589
127,H3408,5.859872611464969,42.6717259,1.7009906000000004,HDAM,2.4690411309673364,5.580986171986346,1.6484383290250824,10.180739496832025,1021.0753568466396,173.53424657534248
128,H3413,2.8,46.34200870000001,9.3687663,HDAM,3.4210959521058486,7.054301214554947,3.2665752760147395,11.548164142137521,1018.303851903628,155.09315068493152
129,H346,0.44,66.314003,27.190001,HDAM,1.4810959103989274,0.9261917789913203,-3.573287597038362,4.85635607136439,1009.0630275778575,92.82739726027397
130,H349,0.9209060527292982,49.82354,14.434501,HDAM,1.4901370120375124,10.048492908436959,5.954931380038392,14.5379449129717,1017.4597400404002,128.23287671232876
131,H359,12.857142857142858,66.6313945,19.8198109999999,HDAM,1.9095890654276495,0.2371506912455167,-4.5593149717386865,4.867095787869128,1008.0109731177761,90.2986301369863
132,H377,7.352941176470589,45.435348,7.418466,HDAM,2.2950685283909107,6.891040963108001,2.4725205001765733,11.664876441427902,1018.3791923627462,165.97260273972603
133,H382,10.3,65.931,24.714001,HDAM,1.4079452222340727,2.0793698138263945,-2.0880547306870354,5.809068384480803,1008.684943546661,96.17534246575343
134,H384,0.19035202086049546,43.73687,6.1342300000000005,HDAM,1.101917834151281,13.858794230916729,7.819013493395832,19.931342006056276,1017.7268623247538,183.8876712328767
