plant_id,gwh_per_mm3,latitude,longitude,type,altitude_m,nearest_lake_dist_km,days_of_rain,inches_of_rain,avg_high_temp,avg_low_temp
H530,32.083333333333336,64.9687,17.54421,HDAM,327.9,2.736600264119008,105,21.2,50,38
H531,17.97979797979798,65.40360600000001,18.673154,HDAM,404.2,2.9544536863591238,105,21.2,50,38
H549,9.232323232323234,66.155998,25.125,HDAM,40.0,7.740202889399039,115,26.9,48,35
H558,4.168295331161779,41.4,-7.59,HDAM,776.0,12.953952749621312,77,28.6,70,56
H566,4.156684733514012,45.2286,14.6736,HDAM,92.7,0.5879401010414446,115,53.9,59,43
H57,0.5782608695652174,42.243999,20.014999,HDAM,715.8,4.681898470243512,101,65.4,69,51
H576,1.1791907514450868,59.049013,17.465807,HDAM,46.4,0.43982681905287696,105,21.2,50,38
H578,0.8333333333333334,62.53208299999999,13.092083,HDAM,651.5,2.0862556184914056,113,30.0,49,36
H590,2.1836734693877546,66.706406,19.516481,HDAM,284.0,0.792594669115866,105,21.2,50,38
H602,9.622222222222222,66.36875,26.689583,HDAM,99.0,5.739048368661826,115,26.9,48,35
H604,1.6873873873873877,41.83225,24.42183,HDAM,565.6,10.134437967200087,81,22.8,59,41
H610,0.4252577319587629,41.61227,25.64052,HDAM,172.0,10.228800553456251,81,22.8,59,41
H627,14.067127344521225,42.02719,24.47085,HDAM,258.1,2.708167917704225,81,22.8,59,41
H634,7.567829457364341,46.3113,16.4945,HDAM,156.4,3.36585815161809,95,33.1,60,43
H635,3.7433155080213902,46.3205,16.7489,HDAM,137.9,7.20200281041924,95,33.1,60,43
H638,0.03873239436619718,39.545417,-1.502917,HDAM,620.0,4.497228180999731,63,17.2,67,49
H651,1.5693779904306218,65.509167,15.625556,HDAM,427.0,4.809437303745572,105,21.2,50,38
H659,1.6776315789473684,40.96,20.068,HDAM,133.6,1.7044954027805168,98,48.0,70,48
H68,1.9833333333333332,66.95428100000001,19.796076,HDAM,366.6,5.164447545795103,105,21.2,50,38
H680,0.2861230329041488,61.46208299999999,23.437917,HDAM,88.3,0.9694169145751012,115,26.9,48,35
H688,0.3463302752293578,42.317001,0.2,HDAM,504.0,4.3155409938047145,119,37.5,64,45
H691,0.967741935483871,41.682917,19.89625,HDAM,122.0,2.574896635100266,98,48.0,70,48
H697,0.16859504132231404,63.821222,17.1450079999999,HDAM,264.0,0.9760301711997976,105,21.2,50,38
H71,34.074074074074076,66.691226,20.345341,HDAM,167.1,5.265738458778472,105,21.2,50,38
H714,2.336565096952908,41.653,-8.231,HDAM,138.4,4.994709154458628,77,28.6,70,56
