plant_id,lake_id,distance_km
H500,1354388,9.31530801622519
H502,146571,1.218415505891497
H513,1317218,4.249447386209608
H515,1218792,4.079234589997661
H519,1233599,3.178189506473669
H520,1267611,2.3884868224748645
H529,1355753,12.215936831353904
H53,170671,3.4428922202396492
H530,1234714,2.7366002641190077
H531,1230751,2.9544536863591233
H549,11774,7.740202889399039
H558,1365456,12.953952749621312
H566,1359357,0.5879401010414446
H57,1364489,4.681898470243512
H576,1295343,0.439826819052877
H578,1265612,2.0862556184914056
H590,1216213,0.792594669115866
H602,1219188,5.739048368661826
H604,172252,10.134437967200089
H610,14453,10.228800553456251
H627,1364675,2.7081679177042255
H634,1354724,3.36585815161809
H635,14091,7.20200281041924
H638,172965,4.497228180999732
H651,1229041,4.809437303745571
H659,172524,1.704495402780517
H68,141570,5.164447545795103
H680,1276958,0.9694169145751013
H688,14417,4.315540993804715
H691,172316,2.574896635100266
H697,148229,0.9760301711997975
H71,1216396,5.265738458778472
H714,172323,4.9947091544586275
H715,11739,1.3239483057537393
H72,1352646,7.777836885208127
H720,1278334,6.552268457311502
H736,1229249,5.972728071056477
H743,14448,7.6658897961551675
H756,172514,3.747041168086201
H77,1368148,4.621852211918456
H78,142622,5.003219905377824
H783,169485,2.77157401652561
H795,146365,1.2509965463204507
H8,1360975,9.643988742477875
H800,172295,1.6705086380536378
H804,1361151,4.072044872443688
H810,14306,4.417029781775163
H811,1361907,3.851192519770003
H812,14299,5.954875564866907
H813,171647,3.745557926314133
H814,14317,6.100293738357293
H83,170085,6.65373876709845
H84,1354168,9.301475148223785
H850,170958,1.2087502395477085
H851,171433,4.95278822910319
H88,169308,15.006216557210829
H886,14434,6.057101019318522
H888,12857,2.6355389323414586
H894,171006,1.879366874084912
H897,1349208,3.065156828671306
H907,14269,4.563701941580384
H908,1360075,1.1112322395173546
H909,14090,3.9161898995373003
H910,169355,1.4719086824470073
H918,172869,5.632672022447565
H923,1355338,1.2674890850756164
H936,14477,35.348131023094936
H938,1238262,3.377081980578463
H94,170065,4.219427681721038
H949,170630,1.4654631369630045
H955,172957,3.6358732373132314
H96,169505,0.9515322859210453
H97,171431,1.5834901096578837
H974,1296286,7.782467463764286
H976,154217,1.8699943618195651
H3424,1355722,8.165852244499359
H3427,1355653,10.396756931384726
N1,1300029,1.9287385048398253
N4,1298224,3.763311279254828
N5,1298173,3.788323500340057
N7,1298900,0.5830916633973998
N9,1297428,1.8591699562420356
N10,158418,2.5736409517486383
N12,1297323,1.0854514738421746
N13,1296224,1.0958450477389183
N14,1295383,1.6245566419647737
N15,1297407,0.5532046786627695
N16,1295688,2.152240432422246
N21,1299459,1.6428131894319555
N22,158884,2.512595188152294
N25,138957,2.4758106490726304
N26,1296401,3.0532737202341007
N27,1296020,0.4539542105380301
N29,1291028,0.43101983999012033
N30,1291028,0.43041821672773856
N31,157142,1.1158357712587343
N34,1293116,3.112441230256877
N35,1293116,3.1104671056630826
N36,158237,3.735557883591023
N37,1291020,1.685164349961845
N38,1292122,3.9153258337420773
N39,1291612,4.3904135394347845
